#ParticleID	Turn	x[m]	xp	y[m]	yp	z[m]	dE[GeV]
0	52	-0.000083	0.000000	0.000000	0.000000	0.442930	-0.000049
0	53	-0.000085	0.000000	0.000000	0.000000	0.440809	-0.000050
0	54	-0.000086	0.000000	0.000000	0.000000	0.438653	-0.000051
0	55	-0.000086	0.000000	0.000000	0.000000	0.436460	-0.000051
0	56	-0.000087	0.000000	0.000000	0.000000	0.434231	-0.000052
0	57	-0.000090	0.000000	0.000000	0.000000	0.431967	-0.000053
0	58	-0.000092	0.000000	0.000000	0.000000	0.429667	-0.000054
0	59	-0.000094	0.000000	0.000000	0.000000	0.427332	-0.000055
0	60	-0.000094	0.000000	0.000000	0.000000	0.424962	-0.000056
0	61	-0.000094	0.000000	0.000000	0.000000	0.422557	-0.000056
0	62	-0.000096	0.000000	0.000000	0.000000	0.420117	-0.000057
0	63	-0.000099	0.000000	0.000000	0.000000	0.417643	-0.000058
0	64	-0.000101	0.000000	0.000000	0.000000	0.415135	-0.000059
0	65	-0.000101	0.000000	0.000000	0.000000	0.412592	-0.000060
0	66	-0.000101	0.000000	0.000000	0.000000	0.410016	-0.000060
0	67	-0.000102	0.000000	0.000000	0.000000	0.407405	-0.000061
0	68	-0.000105	0.000000	0.000000	0.000000	0.404762	-0.000062
0	69	-0.000107	0.000000	0.000000	0.000000	0.402085	-0.000063
0	70	-0.000108	0.000000	0.000000	0.000000	0.399375	-0.000063
0	71	-0.000108	0.000000	0.000000	0.000000	0.396632	-0.000064
0	72	-0.000109	0.000000	0.000000	0.000000	0.393857	-0.000065
0	73	-0.000111	0.000000	0.000000	0.000000	0.391049	-0.000066
0	74	-0.000114	0.000000	0.000000	0.000000	0.388209	-0.000066
0	75	-0.000114	0.000000	0.000000	0.000000	0.385338	-0.000067
0	76	-0.000114	0.000000	0.000000	0.000000	0.382435	-0.000068
0	77	-0.000115	0.000000	0.000000	0.000000	0.379500	-0.000069
0	78	-0.000117	0.000000	0.000000	0.000000	0.376534	-0.000069
0	79	-0.000120	0.000000	0.000000	0.000000	0.373537	-0.000070
0	80	-0.000121	0.000000	0.000000	0.000000	0.370510	-0.000071
0	81	-0.000121	0.000000	0.000000	0.000000	0.367452	-0.000072
0	82	-0.000121	0.000000	0.000000	0.000000	0.364363	-0.000072
0	83	-0.000123	0.000000	0.000000	0.000000	0.361245	-0.000073
0	84	-0.000125	0.000000	0.000000	0.000000	0.358097	-0.000074
0	85	-0.000127	0.000000	0.000000	0.000000	0.354920	-0.000074
0	86	-0.000127	0.000000	0.000000	0.000000	0.351714	-0.000075
0	87	-0.000127	0.000000	0.000000	0.000000	0.348479	-0.000076
0	88	-0.000128	0.000000	0.000000	0.000000	0.345215	-0.000076
0	89	-0.000130	0.000000	0.000000	0.000000	0.341923	-0.000077
0	90	-0.000133	0.000000	0.000000	0.000000	0.338602	-0.000078
0	91	-0.000133	0.000000	0.000000	0.000000	0.335255	-0.000078
0	92	-0.000133	0.000000	0.000000	0.000000	0.331879	-0.000079
0	93	-0.000133	0.000000	0.000000	0.000000	0.328476	-0.000080
0	94	-0.000135	0.000000	0.000000	0.000000	0.325046	-0.000080
0	95	-0.000138	0.000000	0.000000	0.000000	0.321589	-0.000081
0	96	-0.000139	0.000000	0.000000	0.000000	0.318106	-0.000081
0	97	-0.000138	0.000000	0.000000	0.000000	0.314597	-0.000082
0	98	-0.000138	0.000000	0.000000	0.000000	0.311062	-0.000083
0	99	-0.000140	0.000000	0.000000	0.000000	0.307501	-0.000083
0	100	-0.000143	0.000000	0.000000	0.000000	0.303916	-0.000084
0	101	-0.000144	0.000000	0.000000	0.000000	0.300305	-0.000084
0	102	-0.000143	0.000000	0.000000	0.000000	0.296670	-0.000085
0	103	-0.000143	0.000000	0.000000	0.000000	0.293010	-0.000086
0	104	-0.000145	0.000000	0.000000	0.000000	0.289326	-0.000086
